nome,preco,oferta,gramagem,categoria,data_ini,data_fim,date_source,supermarket,tablode_source,marca,produto
MARGARINA VEGETAL CREMOSA COM SAL 60% LIPÍDIOS DELINE,179.0,1.0,15kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,deline,margarina vegetal cremosa com sal 60% lipídios
Coxão mole bovino,28.99,32.9,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,bovino,coxão mole
Maminha bovina,31.9,35.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Maminha bovina
Coração da alcatra,31.9,35.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Coração da alcatra
Picanha bovina congelada,69.9,79.9,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Picanha bovina congelada
Salsicha para hot dog congelada Mauricea,18.9,22.9,2.5kg,Embutidos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,mauricea,salsicha para hot dog congelada
Galinha inteira congelada,7.79,8.98,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Galinha inteira congelada
Fraldinha bovina,27.9,30.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Fraldinha bovina
Bisteca suína congelada,14.5,16.98,1kg,Carne suína,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,suína,bisteca congelada
Filé de peixe merluza fish,26.9,31.9,800g,Pescados,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,peixe,filé de merluza fish
Lasanha tamanho família,19.9,24.9,1kg,Pratos prontos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Lasanha tamanho família
Hambúrguer misto congelado,15.49,16.89,672g,Hambúrguer,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Hambúrguer misto congelado
Pizza Perdigão sabores,11.99,16.9,460g,Pizza,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,perdigão,pizza sabores
Linguiça tipo calabresa,11.99,14.79,400g,Embutidos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Linguiça tipo calabresa
Empanado de frango,37.9,43.9,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Empanado de frango
Coxas,9.9,12.99,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,ox,cas
sobrecoxas de frango congeladas,9.9,12.99,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,ox,sobrecas de frango congeladas
Açaí tradicional,34.9,48.9,5L,Açaí,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Açaí tradicional
Queijo mussarela,6.99,8.59,150g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Queijo mussarela
prato fatiado,6.99,8.59,150g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,prato fatiado
Pão de queijo tradicional,12.9,18.9,300g,Padaria,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Pão de queijo tradicional
Sorvete Quy sorvetto,16.99,22.9,1.5L,Sorvetes,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,quy sorvetto,sorvete
Queijo ralado natural,2.89,3.39,50g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Queijo ralado natural
Manteiga com sal Itacolomy,9.9,12.6,200g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,itacolomy,manteiga com sal
Requeijão cremoso tradicional Betânia,6.49,8.15,220g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,betânia,requeijão cremoso tradicional
Bebida láctea fermentada sabor morango Betânia,4.79,5.5,900g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,betânia,bebida láctea fermentada sabor morango
Bebida láctea Lêta sabores,3.49,4.19,1L,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,lêta,bebida láctea sabores
Pão de forma tradicional Misterão,3.99,4.39,500g,Padaria,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,misterão,pão de forma tradicional
Biscoito Recheado Negresco Nestlé Sabores,1.89,Melhor Negócio,140g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,negresco nestlé,biscoito recheado sabores
Rosquinhas Sabor Coco Mabel,5.95,,800g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,mabel,rosquinhas sabor coco
Bombons Sortidos Garoto,10.9,,250g,Chocolates,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,garoto,bombons sortidos
Bebida Láctea Nescau Nestlé,1.99,,200ml,Bebidas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,nescau nestlé,bebida láctea
Mistura para Bolo Apti Sabores,2.99,,400g,Mercearia,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,apti,mistura para bolo sabores
Cereal Matinal Sucrilhos Kellogg's,19.9,,1kg,Cereais,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,sucrilhos,cereal matinal kellogg's
Macarrão Instantâneo Nissin Lamen Sabores,1.95,,85g,Massas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,nissin lamen,macarrão instantâneo sabores
Café Tradicional,17.05,10% OFF no app,500g,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,café,tradicional
Extraforte Melitta,17.05,10% OFF no app,500g,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,melitta,extraforte
Biscoito Wafer Triunfo Sabores,1.95,21% OFF no app,100g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,triunfo,biscoito wafer sabores
Macarrão de Sêmola Sotrigo Tipos,1.95,,500g,Massas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,sotrigo,macarrão de sêmola tipos
Azeite Extravirgem La Campesina,37.9,,500ml,Azeites,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,la campesina,azeite extravirgem
Azeitonas Verdes com Caroço Campo Belo,10.59,,500g,Conservas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,campo belo,azeitonas verdes com caroço
Farinha de Mandioca Temperada Tradicional Yoki,6.99,,500g,Farinhas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,yoki,farinha de mandioca temperada tradicional
Cápsulas Dolce Gusto Sabores,14.93,21% OFF no app,Caixa com 10 unidades,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,dolce gusto,cápsulas sabores
Pão de Queijo Tradicional Beni,8.92,14% OFF no app,400g,Congelados,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,beni,pão de queijo tradicional
Polpa de Tomate Paganini,13.9,,520g,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,paganini,polpa de tomate
Extrato de Tomate Quero,2.99,,190g,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,quero,extrato de tomate
Maionese Tradicional Imperador,8.49,,500g,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,imperador,maionese tradicional
Milho Verde Quero,2.49,,170g,Conservas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,quero,milho verde
Molho Shoyu Arrifana,8.99,,1.01L,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,arrifana,molho shoyu
Molho de Pimenta Tradicional Imperador,8.29,,900ml,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,imperador,molho de pimenta tradicional
Maionese Quero,29.95,,3kg,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,quero,maionese
Catchup Cepêra,27.99,,3.3kg,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,cepêra,catchup
Viagem no navio Assaí,,Viagens no navio Assaí,,Viagem,01/08/2024,30/11/2024,2024_10_09,assai,imagens_assai/3e9280146ca5bc3c78f630f5da2f432ac842710e.webp,assaí,viagem no navio
Prêmios diversos,,Mais de 20 milhões em prêmios,,Prêmios,01/08/2024,30/11/2024,2024_10_09,assai,imagens_assai/3e9280146ca5bc3c78f630f5da2f432ac842710e.webp,,Prêmios diversos
Molho de Tomate Pomarola Tradicional,2.59,False,300g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,pomarola,molho de tomate tradicional
Molho de Tomate Pomarola,7.98,False,1.02kg,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,pomarola,molho de tomate
Molho de Tomate Chef Pomarola 3 Sabores,15.9,False,1.02kg,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,pomarola,molho de tomate chef 3 sabores
Extrato de Tomate Tradicional Elefante,5.99,False,300g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,elefante,extrato de tomate tradicional
Extrato de Tomate Elefante,12.9,False,840g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,elefante,extrato de tomate
Limpador Limpeza Pesada UAU,9.49,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,limpador limpeza pesada
Kit Limpador UAU,9.49,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,kit limpador
Limpador Perfumado UAU,3.39,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,limpador perfumado
Limpador Perfumado UAU,11.9,False,2L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,limpador perfumado
Lava-Roupas Líquido UAU,18.9,False,3L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,lava-roupas líquido
Requeijão Cremoso Tradicional Danone,6.49,False,200g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danone,requeijão cremoso tradicional
Petit Suisse Danoninho,8.99,False,320g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danoninho,petit suisse
Sobremesa Cremosa Danette,2.99,False,90g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danette,sobremesa cremosa
Iogurte Líquido Danone,11.98,False,1.35kg,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danone,iogurte líquido
Bebida Láctea YoPRO,5.99,False,250ml,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,yopro,bebida láctea
Saco para Lixo Mega Econômico Preto,15.9,False,50 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,,Saco para Lixo Mega Econômico Preto
Bombom Ferrero Rocher,19.9,False,100g,Doces,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,ferrero rocher,bombom
Biscoito Wafer B-Ready Nutella,3.99,False,22g,Doces,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,nutella,biscoito wafer b-ready
Filé de Sardinha Gomes da Costa,7.99,False,85g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,filé de sardinha
Atum Ralado Gomes da Costa,6.49,False,130g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,atum ralado
Sardinha com Óleo Gomes da Costa,3.99,False,125g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,sardinha com óleo
Patê de Atum Gomes da Costa,7.65,False,150g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,patê de atum
Salada com Atum e Batata Gomes da Costa,7.89,False,150g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,salada com atum e batata
Alvejante Vanish Tipos,14.9,Leve 5 Pague 4,"1,2L",Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,vanish,alvejante tipos
Desinfetante em Pastilha Adesiva Harpic Tipos,8.99,Leve 5 Pague 4,5 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,harpic,desinfetante em pastilha adesiva tipos
Inseticida SBP Tipos,9.99,,300ml,Inseticidas,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,tipos,inseticida sbp
Inseticida Aerossol SBP Tipos,15.9,,300ml,Inseticidas,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,tipos,inseticida aerossol sbp
Limpador Multiuso Tradicional Veja,5.59,,750ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,veja,limpador multiuso tradicional
Aparelho Descartável Venus Gillette Tipos,15.9,Leve 4 Pague 3,,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,venus gillette,aparelho descartável tipos
Carga Match3 Gillette Tipos,33.9,,4 unidades,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,gillette,carga match3 tipos
Desodorante Aerossol Old Spice Fragrâncias,10.9,,150ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,old spice,desodorante aerossol fragrâncias
Kit Pantene Tipos,19.9,,Shampoo 350ml + Condicionador 150ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,pantene,kit tipos
Shampoo Pantene Tipos,25.9,,400ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,pantene,shampoo tipos
Amaciante de Roupas Mon Bijou Fragrâncias,6.59,,"1,7L",Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,mon bijou,amaciante de roupas fragrâncias
Amaciante Concentrado Mon Bijou Fragrâncias,12.59,,1L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,mon bijou,amaciante concentrado fragrâncias
Desinfetante Kalipto Fragrâncias,7.89,,2L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,,Desinfetante Kalipto Fragrâncias
Lava Roupas Líquido Brilhante Ação Biozyme Tipos,24.5,,3L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,brilhante,lava roupas líquido ação biozyme tipos
Saponáceo Sapólio Radium Cremoso Tipos,9.59,,300ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,sapólio radium,saponáceo cremoso tipos
Lenço de Papel Classic Box Kleenex,6.39,Leve 3 Pague 2,50 unidades,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,kleenex,lenço de papel classic box
Pano Multiuso Duramax Scott,10.9,Leve 5 Pague 4,5 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,duramax scott,pano multiuso
Papel Higiênico Neutro Folha Dupla Max Pure,11.9,Leve 12 Pague 11,20m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,max pure,papel higiênico neutro folha dupla
Papel Higiênico Neutro Folha Dupla Max Pure,15.9,Leve 16 Pague 15,30m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,max pure,papel higiênico neutro folha dupla
Papel Higiênico Folha Dupla Neve Neutro,29.9,Leve 12 Pague 11,20m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,neve,papel higiênico folha dupla neutro
Saco para Lixo Embalixo Econômico,13.9,,100L - 25 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,embalixo,saco para lixo econômico
Saco para Lixo Super Econômico Embalixo,3.99,,50L - 10 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,embalixo,saco para lixo super econômico
Saco para Lixo de Banheiro Embalixo,4.89,,5L - 80 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,embalixo,saco para lixo de banheiro
"Saco para Freezer, Geladeira e Microondas Embalfreezer",3.99,,3L - 100 unidades,Utensílios Domésticos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,embalfreezer,"saco para freezer, geladeira e microondas"
"Saco para Freezer, Geladeira e Microondas Embalfreezer",5.59,,5L - 100 unidades,Utensílios Domésticos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,embalfreezer,"saco para freezer, geladeira e microondas"
Lava roupas em pó primavera tixan ypê,14.99,17.8,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,primavera tixan ypê,lava roupas em pó
Limpador multiuso ypê,3.79,4.99,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,ypê,limpador multiuso
Desinfetante kalipto ypê,1.99,2.55,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,kalipto ypê,desinfetante
Desinfetante bak ypê,7.99,9.8,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,bak ypê,desinfetante
Alvejante vanish tipos,8.99,12.3,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,vanish,alvejante tipos
Lâmpada de led bulbo elgin,4.59,5.4,,Iluminação,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,elgin,lâmpada de led bulbo
Vassoura com cabo dentro e fora alklin,11.99,15.9,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,alklin,vassoura com cabo dentro e fora
Mop com balde compacto brilhus betanin,59.9,79.9,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,brilhus betanin,mop com balde compacto
Toalha banho dynamos plus camesa sortida,44.9,54.6,,Cama e Banho,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,camesa,toalha banho dynamos plus sortida
Jogo de cama microfibra casal duplo camesa,59.9,69.0,,Cama e Banho,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,microfibra,jogo de cama casal duplo camesa
Banqueta nesca branca,12.9,21.9,,Móveis,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,,Banqueta nesca branca
preta plastek,12.9,21.9,,Móveis,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,plastek,preta
Caixa térmica for plast,69.9,79.9,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,for plast,caixa térmica
Folha de alumínio pratsy,1.99,2.95,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,pratsy,folha de alumínio
Filme de pvc guarufilme,2.45,3.25,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,guarufilme,filme de pvc
Guardanapo grand hotel scott,3.99,5.35,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,grand hotel scott,guardanapo
Fritadeira elétrica gourmet black philco,349.0,409.0,,Eletrodomésticos,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,philco,fritadeira elétrica gourmet black
Papel manteiga wyda,4.99,5.99,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,wyda,papel manteiga
Protetor de alumínio para fogão wyda,5.95,7.09,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp,wyda,protetor de alumínio para fogão
