nome,preco,oferta,gramagem,categoria,data_ini,data_fim,date_source,supermarket,tablode_source
Coração da alcatra,31.9,35.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Picanha bovina congelada,69.9,79.9,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Salsicha para hot dog congelada Mauricea,18.9,22.9,2.5kg,Embutidos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Galinha inteira congelada,7.79,8.98,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Fraldinha bovina,27.9,30.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Bisteca suína congelada,14.5,16.98,1kg,Carne suína,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Filé de peixe merluza fish,26.9,31.9,800g,Pescados,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Lasanha tamanho família,19.9,24.9,1kg,Pratos prontos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Hambúrguer misto congelado,15.49,16.89,672g,Hambúrguer,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Pizza Perdigão sabores,11.99,16.9,460g,Pizza,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Linguiça tipo calabresa,11.99,14.79,400g,Embutidos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Empanado de frango,37.9,43.9,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Coxas ou sobrecoxas de frango congeladas,9.9,12.99,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Açaí tradicional,34.9,48.9,5L,Açaí,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Queijo mussarela ou prato fatiado,6.99,8.59,150g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Pão de queijo tradicional,12.9,18.9,300g,Padaria,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Sorvete Quy sorvetto,16.99,22.9,1.5L,Sorvetes,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Queijo ralado natural,2.89,3.39,50g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Manteiga com sal Itacolomy,9.9,12.6,200g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Requeijão cremoso tradicional Betânia,6.49,8.15,220g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Bebida láctea fermentada sabor morango Betânia,4.79,5.5,900g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Bebida láctea Lêta sabores,3.49,4.19,1L,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Pão de forma tradicional Misterão,3.99,4.39,500g,Padaria,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp
Biscoito Recheado Negresco Nestlé Sabores,1.89,Melhor Negócio,140g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Rosquinhas Sabor Coco Mabel,5.95,,800g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Bombons Sortidos Garoto,10.9,,250g,Chocolates,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Bebida Láctea Nescau Nestlé,1.99,,200ml,Bebidas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Mistura para Bolo Apti Sabores,2.99,,400g,Mercearia,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Cereal Matinal Sucrilhos Kellogg's,19.9,,1kg,Cereais,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Macarrão Instantâneo Nissin Lamen Sabores,1.95,,85g,Massas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Café Tradicional ou Extraforte Melitta,17.05,10% OFF no app,500g,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Biscoito Wafer Triunfo Sabores,1.95,21% OFF no app,100g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Macarrão de Sêmola Sotrigo Tipos,1.95,,500g,Massas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Azeite Extravirgem La Campesina,37.9,,500ml,Azeites,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Azeitonas Verdes com Caroço Campo Belo,10.59,,500g,Conservas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Farinha de Mandioca Temperada Tradicional Yoki,6.99,,500g,Farinhas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Cápsulas Dolce Gusto Sabores,14.93,21% OFF no app,Caixa com 10 unidades,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Pão de Queijo Tradicional Beni,8.92,14% OFF no app,400g,Congelados,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Polpa de Tomate Paganini,13.9,,520g,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Extrato de Tomate Quero,2.99,,190g,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Maionese Tradicional Imperador,8.49,,500g,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Milho Verde Quero,2.49,,170g,Conservas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Molho Shoyu Arrifana,8.99,,1.01L,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Molho de Pimenta Tradicional Imperador,8.29,,900ml,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Maionese Quero,29.95,,3kg,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Catchup Cepêra,27.99,,3.3kg,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp
Viagem no navio Assaí,,Viagens no navio Assaí,,Viagem,01/08/2024,30/11/2024,2024_10_09,assai,imagens_assai/3e9280146ca5bc3c78f630f5da2f432ac842710e.webp
Prêmios diversos,,Mais de 20 milhões em prêmios,,Prêmios,01/08/2024,30/11/2024,2024_10_09,assai,imagens_assai/3e9280146ca5bc3c78f630f5da2f432ac842710e.webp
Molho de Tomate Pomarola Tradicional,2.59,False,300g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Molho de Tomate Pomarola,7.98,False,1.02kg,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Molho de Tomate Chef Pomarola 3 Sabores,15.9,False,1.02kg,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Extrato de Tomate Tradicional Elefante,5.99,False,300g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Extrato de Tomate Elefante,12.9,False,840g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Limpador Limpeza Pesada UAU,9.49,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Kit Limpador UAU,9.49,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Limpador Perfumado UAU,3.39,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Limpador Perfumado UAU,11.9,False,2L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Lava-Roupas Líquido UAU,18.9,False,3L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Requeijão Cremoso Tradicional Danone,6.49,False,200g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Petit Suisse Danoninho,8.99,False,320g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Sobremesa Cremosa Danette,2.99,False,90g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Iogurte Líquido Danone,11.98,False,1.35kg,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Bebida Láctea YoPRO,5.99,False,250ml,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Saco para Lixo Mega Econômico Preto,15.9,False,50 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Bombom Ferrero Rocher,19.9,False,100g,Doces,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Biscoito Wafer B-Ready Nutella,3.99,False,22g,Doces,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Filé de Sardinha Gomes da Costa,7.99,False,85g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Atum Ralado Gomes da Costa,6.49,False,130g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Sardinha com Óleo Gomes da Costa,3.99,False,125g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Patê de Atum Gomes da Costa,7.65,False,150g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Salada com Atum e Batata Gomes da Costa,7.89,False,150g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp
Alvejante Vanish Tipos,14.9,Leve 5 Pague 4,"1,2L",Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Desinfetante em Pastilha Adesiva Harpic Tipos,8.99,Leve 5 Pague 4,5 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Inseticida SBP Tipos,9.99,,300ml,Inseticidas,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Inseticida Aerossol SBP Tipos,15.9,,300ml,Inseticidas,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Limpador Multiuso Tradicional Veja,5.59,,750ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Aparelho Descartável Venus Gillette Tipos,15.9,Leve 4 Pague 3,,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Carga Match3 Gillette Tipos,33.9,,4 unidades,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Desodorante Aerossol Old Spice Fragrâncias,10.9,,150ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Kit Pantene Tipos,19.9,,Shampoo 350ml + Condicionador 150ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Shampoo Pantene Tipos,25.9,,400ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Amaciante de Roupas Mon Bijou Fragrâncias,6.59,,"1,7L",Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Amaciante Concentrado Mon Bijou Fragrâncias,12.59,,1L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Desinfetante Kalipto Fragrâncias,7.89,,2L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Lava Roupas Líquido Brilhante Ação Biozyme Tipos,24.5,,3L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Saponáceo Sapólio Radium Cremoso Tipos,9.59,,300ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Lenço de Papel Classic Box Kleenex,6.39,Leve 3 Pague 2,50 unidades,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Pano Multiuso Duramax Scott,10.9,Leve 5 Pague 4,5 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Papel Higiênico Neutro Folha Dupla Max Pure,11.9,Leve 12 Pague 11,20m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Papel Higiênico Neutro Folha Dupla Max Pure,15.9,Leve 16 Pague 15,30m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Papel Higiênico Folha Dupla Neve Neutro,29.9,Leve 12 Pague 11,20m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Saco para Lixo Embalixo Econômico,13.9,,100L - 25 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Saco para Lixo Super Econômico Embalixo,3.99,,50L - 10 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Saco para Lixo de Banheiro Embalixo,4.89,,5L - 80 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
"Saco para Freezer, Geladeira e Microondas Embalfreezer",3.99,,3L - 100 unidades,Utensílios Domésticos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
"Saco para Freezer, Geladeira e Microondas Embalfreezer",5.59,,5L - 100 unidades,Utensílios Domésticos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp
Lava roupas em pó primavera tixan ypê,14.99,17.8,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Limpador multiuso ypê,3.79,4.99,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Desinfetante kalipto ypê,1.99,2.55,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Desinfetante bak ypê,7.99,9.8,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Alvejante vanish tipos,8.99,12.3,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Lâmpada de led bulbo elgin,4.59,5.4,,Iluminação,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Vassoura com cabo dentro e fora alklin,11.99,15.9,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Mop com balde compacto brilhus betanin,59.9,79.9,,Limpeza,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Toalha banho dynamos plus camesa sortida,44.9,54.6,,Cama e Banho,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Jogo de cama microfibra casal duplo camesa,59.9,69.0,,Cama e Banho,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Banqueta nesca branca ou preta plastek,12.9,21.9,,Móveis,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Caixa térmica for plast,69.9,79.9,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Folha de alumínio pratsy,1.99,2.95,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Filme de pvc guarufilme,2.45,3.25,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Guardanapo grand hotel scott,3.99,5.35,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Fritadeira elétrica gourmet black philco,349.0,409.0,,Eletrodomésticos,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Papel manteiga wyda,4.99,5.99,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Protetor de alumínio para fogão wyda,5.95,7.09,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Saco para micro-ondas freezer lafra rom roll,6.69,7.99,,Utilidades Domésticas,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Sandália elegance havaianas cores,19.9,24.9,,Calçados,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/5bb1e923f1297f6241c282a4f3ea8b840e490c5d.webp
Sabonete Johnson's,1.99,True,90g,Higiene pessoal,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Hastes flexíveis Johnson's,4.99,True,75 unidades,Higiene pessoal,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Enxaguante bucal Listerine,13.9,True,250ml,Higiene bucal,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Escova dental Oral-B,18.9,True,2 unidades,Higiene bucal,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Aparelho Prestobarba 3 Gillette,19.9,True,2 unidades,Higiene pessoal,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Absorvente Always,12.9,True,32 unidades,Higiene feminina,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Aparelho de depilação Venus,19.9,True,2 unidades,Higiene feminina,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Fralda descartável Huggies,39.9,True,52 unidades,Higiene infantil,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Amaciante concentrado Downy,22.9,True,1.5L,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Lava roupas líquido Ariel,32.9,True,3L,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Lava roupas em pó Minuano,14.7,True,1.6kg,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Kit alvejante Vanish,29.9,True,2x1.5L,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Desinfetante Urca,3.95,True,2L,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Inseticida aerossol SBP,14.9,True,300ml,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Papel higiênico Neve,21.7,True,12 rolos,Higiene pessoal,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Alimento para cães VittaMax,69.0,True,10.1kg,Pet,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Ração para gatos Whiskas,139.0,True,10.1kg,Pet,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Saco para lixo Gol,7.9,True,50 unidades,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Esponja multiuso Scotch-Brite,4.99,True,4 unidades,Limpeza doméstica,2024-09-26,2024-09-29,2024_10_09,assai,imagens_assai/e6a5070a8d61e3f78037b1ed5193479b8ea9d8f6.webp
Costela do traseiro bovina reserva,15.9,Melhor Negócio,1 kg,Carnes,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/444_57f95a9916.webp
Picanha bovina resfriada Friboi,49.9,,1 kg,Carnes,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/444_57f95a9916.webp
Linguiça suína para churrasco congelada Aurora,11.9,,1 kg,Embutidos,30/09/2023,03/10/2023,2024_10_09,assai,imagens_assai/444_57f95a9916.webp
